Sample,SMILES,Protein adsorption / ng cm-2,Protein MW / kDa,Protein Charge (pI),Thickness (nm),Type,Predicted Zeta (mV),Predicted CA (deg),Ref
PMPC,C=C(C)C(=O)OCCOP(=O)([O-])OCC[N+](C)(C)C,19.76981899554679,66.5,4.7,1.7,BSA,-3.0784194,11.68388291,https://pubs.acs.org/doi/10.1021/acsami.4c01401
PCMB,C=C(C)C(=O)OCC[N+](C)(C)CC(=O)[O-],0.5846518746459428,66.5,4.7,8.1,BSA,-8.985689,15.01823017,https://pubs.acs.org/doi/10.1021/acsami.4c01401
PCMB,C=C(C)C(=O)OCC[N+](C)(C)CC(=O)[O-],1.8960726304159743,66.5,4.7,4.6,BSA,-11.373198,14.84950269,https://pubs.acs.org/doi/10.1021/acsami.4c01401
PmOEGMA,C=C(C)C(=O)OCCOCCOCCOCCOC,2.3614208223941575,66.5,4.7,20.0,BSA,-8.934604,51.83500685,https://pubs.acs.org/doi/10.1021/la302738s
PHEMA,C=C(C)C(=O)OCCO,3.598949660810252,66.5,4.7,20.0,BSA,-12.175052,47.9549804,https://pubs.acs.org/doi/10.1021/la302738s
PMOEMA,C=C(C)C(=O)OCCOC,80.47419487579741,66.5,4.7,20.0,BSA,-9.032789,60.93783729,https://pubs.acs.org/doi/10.1021/la302738s
PAA,O=C(O)C=C,10.648937329166667,66.5,4.7,9.5,BSA,-4.711626,47.71226313,https://pubs.acs.org/doi/10.1021/la204542e
PAA,O=C(O)C=C,34.13824285768766,66.5,4.7,4.82,BSA,-7.177438,47.19183977,https://pubs.acs.org/doi/10.1021/la204542e
PHEMA,C=C(C)C(=O)OCCO,3.933943060128475,66.5,4.7,2.7,BSA,-12.596323,45.87173209,https://www.sciencedirect.com/science/article/pii/S0927776515000338
PHEMA,C=C(C)C(=O)OCCO,0.981689069070461,66.5,4.7,2.5,BSA,-12.596323,45.84856838,https://www.sciencedirect.com/science/article/pii/S0927776515000338
PHEMA,C=C(C)C(=O)OCCO,1.0363177066834173,66.5,4.7,12.4,BSA,-10.963921,47.02209064,https://www.sciencedirect.com/science/article/pii/S0927776515000338
PHEA,C=CC(=O)OCCO,20.080433361137995,66.5,4.7,1.7,BSA,-11.849382,35.15959508,https://www.sciencedirect.com/science/article/pii/S0927776515000338
PHEA,C=CC(=O)OCCO,0.9758404406700341,66.5,4.7,2.3,BSA,-11.849382,35.21766941,https://www.sciencedirect.com/science/article/pii/S0927776515000338
PHEA,C=CC(=O)OCCO,0.9988608822735442,66.5,4.7,10.9,BSA,-8.858882,36.0869434,https://www.sciencedirect.com/science/article/pii/S0927776515000338
PPEGMA,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC,1.0261699558260844,66.5,4.7,2.3,BSA,-18.752552,41.39838714,https://www.sciencedirect.com/science/article/pii/S0927776515000338
PPEGMA,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC,0.8622464023999062,66.5,4.7,12.9,BSA,-14.275342,42.01753854,https://www.sciencedirect.com/science/article/pii/S0927776515000338
PDEGMA,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC,13.426910279276017,66.5,4.7,5.0,BSA,-17.417318,41.55060828,https://pubs.acs.org/doi/full/10.1021/acs.langmuir.6b02708
PDEGMA,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC,7.542832894913473,66.5,4.7,10.0,BSA,-17.605581,41.84254528,https://pubs.acs.org/doi/full/10.1021/acs.langmuir.6b02708
PDEGMA,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC,1.2324450056310987,66.5,4.7,14.0,BSA,-17.476349,42.08495288,https://pubs.acs.org/doi/full/10.1021/acs.langmuir.6b02708
PNMEP,C=C(C)C(=O)OCCN1CCCC1=O,6.395055244011866,66.5,4.7,50.0,BSA,-12.517403,25.85778109,https://onlinelibrary.wiley.com/doi/full/10.1002/admi.202101717
PEMA,O=C(OCC)C(C)=C,450.5113144993002,66.5,4.7,10.3,BSA,-9.967725,74.52604702,Exp
PIPMA,O=C(OC(C)C)C(C)=C,382.8431379471992,66.5,4.7,15.2,BSA,-29.94392,82.06970218,Exp
PDEGMA,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC,8.801786494255802,66.5,4.7,20.2,BSA,-18.314512,42.47498491,Exp
PMMA,O=C(OC)C(C)=C,277.3898414665987,66.5,4.7,14.0,BSA,-10.28216,65.85544594,Exp
PMOEMA,O=C(OCCOC)C(C)=C,201.69997783086072,66.5,4.7,24.6,BSA,-11.198844,61.40074408,Exp
PDMAEMA,C=C(C)C(=O)OCC[N+](C)C.[Cl-],1060.8734174371068,66.5,4.7,13.8,BSA,16.319553,16.0009027,Exp
PDIPAEMA,CC(C)[N+](CCOC(=O)C(C)=C)C(C)C.[Cl-],372.3635493347227,66.5,4.7,19.5,BSA,7.166369,65.9019757,Exp
PBMA ,C=C(C)C(=O)OCCCC,311.96945012500936,14.0,11.0,11.962,Lys,-18.940662,81.8446148,https://pubs.acs.org/doi/full/10.1021/acs.jpcc.5b04186
PHEMA ,C=C(C)C(=O)OCCO,29.112803732106897,14.0,11.0,16.822,Lys,-12.367573,47.56197349,https://pubs.acs.org/doi/full/10.1021/acs.jpcc.5b04186
PmOEGMA,C=C(C)C(=O)OCCOCCOCCOCCOC,20.39833726495699,14.0,11.0,17.9,Lys,-8.504514,51.628971,https://pubs.acs.org/doi/full/10.1021/acs.jpcc.5b04186
PMEA ,C=CC(=O)OCCOC,30.727701941710276,14.0,11.0,19.78895833,Lys,-2.4740336,53.04858971,https://pubs.acs.org/doi/full/10.1021/acs.jpcc.5b04186
PAEMA ,C=C(C)C(=O)OCC[NH3+].[Cl-],93.33662126823455,14.0,11.0,9.2225,Lys,26.610718,44.12879224,https://pubs.acs.org/doi/full/10.1021/acs.jpcc.5b04186
PCBMA ,C=C(C)C(=O)OCC[N+](C)(C)CCC(=O)[O-],14.275611455474248,14.0,11.0,19.38733333,Lys,-8.906415,19.46224107,https://pubs.acs.org/doi/full/10.1021/acs.jpcc.5b04186
PMPC ,C=C(C)C(=O)OCCOP(=O)([O-])OCC[N+](C)(C)C,0.8266857550657112,14.0,11.0,12.49,Lys,-1.2724454,12.31850893,https://pubs.acs.org/doi/full/10.1021/acs.jpcc.5b04186
PMPS,C=C(C)C(=O)OCCCS(=O)(=O)[O-].[K+],1006.2589009531546,14.0,11.0,18.93,Lys,-51.27758,13.96648194,https://pubs.acs.org/doi/full/10.1021/acs.jpcc.5b04186
